Test Case,V,Elapsed Time,Satisfiability,Validity
1,4,3.0994415283203125e-05,Satisfiable,Valid
2,4,2.7179718017578125e-05,Unsatisfiable,Invalid
3,4,1.7881393432617188e-05,Satisfiable,Valid
4,4,1.2874603271484375e-05,Satisfiable,Valid
5,4,2.5272369384765625e-05,Unsatisfiable,Invalid
6,4,1.811981201171875e-05,Unsatisfiable,Invalid
7,4,2.2172927856445312e-05,Unsatisfiable,Invalid
8,4,1.0967254638671875e-05,Satisfiable,Valid
9,4,1.2636184692382812e-05,Satisfiable,Valid
10,4,1.2636184692382812e-05,Satisfiable,Valid
11,8,5.507469177246094e-05,Satisfiable,Valid
12,8,4.291534423828125e-05,Satisfiable,Valid
13,8,5.888938903808594e-05,Satisfiable,Valid
14,8,8.487701416015625e-05,Unsatisfiable,Invalid
15,8,5.4836273193359375e-05,Unsatisfiable,Invalid
16,8,5.3882598876953125e-05,Unsatisfiable,Invalid
17,8,5.316734313964844e-05,Unsatisfiable,Invalid
18,8,5.888938903808594e-05,Satisfiable,Valid
19,8,3.504753112792969e-05,Satisfiable,Valid
20,8,4.410743713378906e-05,Unsatisfiable,Invalid
21,12,7.510185241699219e-05,Unsatisfiable,Invalid
22,12,7.295608520507812e-05,Satisfiable,Valid
23,12,4.1961669921875e-05,Satisfiable,Valid
24,12,4.410743713378906e-05,Satisfiable,Valid
25,12,4.792213439941406e-05,Satisfiable,Valid
26,12,6.222724914550781e-05,Satisfiable,Valid
27,12,7.414817810058594e-05,Unsatisfiable,Invalid
28,12,8.320808410644531e-05,Unsatisfiable,Invalid
29,12,6.389617919921875e-05,Unsatisfiable,Invalid
30,12,6.031990051269531e-05,Unsatisfiable,Invalid
31,16,9.918212890625e-05,Satisfiable,Valid
32,16,0.00013327598571777344,Unsatisfiable,Invalid
33,16,0.00011491775512695312,Satisfiable,Valid
34,16,8.702278137207031e-05,Satisfiable,Valid
35,16,0.00019979476928710938,Unsatisfiable,Invalid
36,16,0.0001049041748046875,Satisfiable,Valid
37,16,0.00014901161193847656,Unsatisfiable,Invalid
38,16,0.00013303756713867188,Satisfiable,Valid
39,16,0.00013113021850585938,Unsatisfiable,Invalid
40,16,9.703636169433594e-05,Satisfiable,Valid
41,18,0.00013494491577148438,Unsatisfiable,Invalid
42,18,0.00014901161193847656,Unsatisfiable,Invalid
43,18,0.00014829635620117188,Unsatisfiable,Invalid
44,18,0.00016999244689941406,Satisfiable,Valid
45,18,0.0001518726348876953,Unsatisfiable,Invalid
46,18,0.00016570091247558594,Satisfiable,Valid
47,18,0.00010800361633300781,Satisfiable,Valid
48,18,0.00014019012451171875,Unsatisfiable,Invalid
49,18,0.0001220703125,Satisfiable,Valid
50,18,0.00013303756713867188,Unsatisfiable,Invalid
51,20,0.00015282630920410156,Unsatisfiable,Invalid
52,20,0.0001609325408935547,Satisfiable,Valid
53,20,0.00016617774963378906,Satisfiable,Valid
54,20,0.00011491775512695312,Satisfiable,Valid
55,20,0.00013494491577148438,Unsatisfiable,Invalid
56,20,0.00016880035400390625,Unsatisfiable,Invalid
57,20,0.0001308917999267578,Unsatisfiable,Invalid
58,20,0.000164031982421875,Satisfiable,Valid
59,20,0.00015282630920410156,Unsatisfiable,Invalid
60,20,0.0001270771026611328,Unsatisfiable,Invalid
61,22,0.00015616416931152344,Satisfiable,Valid
62,22,0.0001270771026611328,Satisfiable,Valid
63,22,0.0002529621124267578,Unsatisfiable,Invalid
64,22,0.00016999244689941406,Satisfiable,Valid
65,22,0.0001227855682373047,Satisfiable,Valid
66,22,0.0001270771026611328,Satisfiable,Valid
67,22,0.00023603439331054688,Unsatisfiable,Invalid
68,22,0.00017070770263671875,Unsatisfiable,Invalid
69,22,0.00020503997802734375,Satisfiable,Valid
70,22,0.0001850128173828125,Unsatisfiable,Invalid
71,24,0.0002720355987548828,Unsatisfiable,Invalid
72,24,0.00020194053649902344,Satisfiable,Valid
73,24,0.00018906593322753906,Satisfiable,Valid
74,24,0.0002779960632324219,Unsatisfiable,Invalid
75,24,0.00024390220642089844,Unsatisfiable,Invalid
76,24,0.00021696090698242188,Unsatisfiable,Invalid
77,24,0.00015997886657714844,Satisfiable,Valid
78,24,0.00022125244140625,Unsatisfiable,Invalid
79,24,0.00022411346435546875,Satisfiable,Valid
80,24,0.00015473365783691406,Satisfiable,Valid
81,26,0.0002460479736328125,Unsatisfiable,Invalid
82,26,0.00023818016052246094,Satisfiable,Valid
83,26,0.00024080276489257812,Unsatisfiable,Invalid
84,26,0.0002460479736328125,Unsatisfiable,Invalid
85,26,0.000225067138671875,Unsatisfiable,Invalid
86,26,0.00023984909057617188,Unsatisfiable,Invalid
87,26,0.0003020763397216797,Satisfiable,Valid
88,26,0.0002620220184326172,Satisfiable,Valid
89,26,0.0002300739288330078,Unsatisfiable,Invalid
90,26,0.00018310546875,Satisfiable,Valid
91,28,0.00034689903259277344,Unsatisfiable,Invalid
92,28,0.00039315223693847656,Satisfiable,Valid
93,28,0.0002579689025878906,Unsatisfiable,Invalid
94,28,0.0003032684326171875,Unsatisfiable,Invalid
95,28,0.00025963783264160156,Unsatisfiable,Invalid
96,28,0.0002727508544921875,Satisfiable,Valid
97,28,0.0001971721649169922,Satisfiable,Valid
98,28,0.0001862049102783203,Satisfiable,Valid
99,28,0.0002789497375488281,Unsatisfiable,Invalid
100,28,0.00023293495178222656,Satisfiable,Valid
